Name;Date;Title;Price;Condition;Link
ritz2ndstore;2 days ago;Parlent Geneva ( Rare Dial);Rp 520,000;Like new;https://id.carousell.com/p/parlent-geneva-rare-dial-1288661614/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=0
RahmttY;2 days ago;Jam parlent magnus automatic;Rp 380,000;Lightly used;https://id.carousell.com/p/jam-parlent-magnus-automatic-1288640983/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=1
ebn19894017;4 days ago;Parlent Kronos - Silver;Rp 800,000;Well used;https://id.carousell.com/p/parlent-kronos-silver-1288004066/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=2
Manskishop;4 days ago;parlent hitam;Rp 550,000;Well used;https://id.carousell.com/p/parlent-hitam-1287965229/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=3
mrhafidz;26 days ago;Parlent Palladium Artic Gunmetal;Rp 599,999;Like new;https://id.carousell.com/p/parlent-palladium-artic-gunmetal-1282604584/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=5
allkusell;7 days ago;Luxury Parlent Phoenix Steel Blue Limited | Jam Tangan;Rp 499;Like new;https://id.carousell.com/p/luxury-parlent-phoenix-steel-blue-limited-jam-tangan-1287308097/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=6
pijaipetek;23 days ago;JAM TANGAN PARLENT WORLD XANDER RUBBER AUTOMATIC;Rp 800,000;Like new;https://id.carousell.com/p/jam-tangan-parlent-world-xander-rubber-automatic-1283429762/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=7
faisalazzaniramadhan;21 days ago;Jam Tangan Parlent Hitam Kulit;Rp 325,000;Lightly used;https://id.carousell.com/p/jam-tangan-parlent-hitam-kulit-1283740071/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=8
prelovedazizahanun;4 months ago;Parlent Poseidon;Rp 700,000;Like new;https://id.carousell.com/p/parlent-poseidon-1263992127/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=9
ratubaini46;22 days ago;NEGO‼️Jam tangan Parlent Automatic Original;Rp 600,000;Like new;https://id.carousell.com/p/nego‼️jam-tangan-parlent-automatic-original-1283481221/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=10
By.raara;2 months ago;(New, Ada Tag & Garansi) - Parlent Jam Tangan Pria Automatic Gallant Lite;Rp 545,000;Brand new;https://id.carousell.com/p/new-ada-tag-garansi-parlent-jam-tangan-pria-automatic-gallant-lite-1274395344/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=11
firdhaayu;1 month ago;Jam tangan parlent for her;Rp 550,000;Like new;https://id.carousell.com/p/jam-tangan-parlent-for-her-1278928279/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=12
sideoflee;16 days ago;Jaket Trucker James Suede - Parlenticon;Rp 180,000;Like new;https://id.carousell.com/p/jaket-trucker-james-suede-parlenticon-1285082083/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=14
bekas_rasa_baru_30;5 months ago;JAM ROSE GOLD PARLENT;Rp 550,000;Like new;https://id.carousell.com/p/jam-rose-gold-parlent-1258077337/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=15
prazeta78320;12 days ago;Parlent Aragon Prime Automatic Watch;Rp 900,000;Like new;https://id.carousell.com/p/parlent-aragon-prime-automatic-watch-1286108532/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=16
this_is_yours;25 days ago;Parlent limited - PALLADIUM ARCTIC GUNMETAL;Rp 700,000;Like new;https://id.carousell.com/p/parlent-limited-palladium-arctic-gunmetal-1282629472/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=17
kwwk8zkkct88367;2 months ago;PARLENT DIEGO;Rp 859,900;Brand new;https://id.carousell.com/p/parlent-diego-1277506443/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=18
bagolindependent;2 months ago;Parlent automatic;Rp 550,000;Well used;https://id.carousell.com/p/parlent-automatic-1276595680/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=19
agungrevan15;2 months ago;Parlent kronos;Rp 850,000;Like new;https://id.carousell.com/p/parlent-kronos-1273495218/?t-id=teAVU03r2t_1708694530036&t-referrer_browse_type=search_results&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=4wnB5AK0yVrfHB76&t-referrer_search_query=Parlent&t-referrer_sort_by=popular&t-tap_index=20
